SA2_MAINCODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EPT_DC_0_4,M_LPLFS_EAW_DC_0_4,M_LPLFS_HNS_DC_0_4,M_LPLFS_EW_T_DC_0_4,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_U_T_DC_0_4,M_LPLFS_T_LF_DC_0_4,M_LPLFS_NLF_DC_0_4,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_T_DC_0_4,F_LPLFS_EFT_DC_0_4,F_LPLFS_EPT_DC_0_4,F_LPLFS_EAW_DC_0_4,F_LPLFS_HNS_DC_0_4,F_LPLFS_EW_T_DC_0_4,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_U_T_DC_0_4,F_LPLFS_T_LF_DC_0_4,F_LPLFS_NLF_DC_0_4,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_T_DC_0_4,T_LPLFS_EFT_DC_0_4
203021045,9,0,0,0,10,0,0,0,10,3,0,16,9,28,9,0,46,3,7,6,54,117,6,175,15
203021046,3,0,0,0,4,0,0,0,4,0,0,4,9,8,0,0,15,0,0,0,13,17,0,31,10
203021047,6,0,0,0,5,0,0,0,7,8,0,12,10,34,4,0,44,3,5,16,61,69,0,130,16
203031048,3,0,0,0,3,0,0,0,8,0,0,6,11,22,3,0,34,0,0,0,34,73,0,113,14
203031049,3,0,0,0,0,0,0,0,0,3,0,6,3,0,3,0,8,0,0,0,8,4,0,7,4
203031050,3,3,0,0,5,0,0,0,5,0,0,3,10,40,0,0,57,0,3,10,62,65,0,127,15
203031051,4,0,0,0,3,0,0,0,3,3,0,9,4,7,0,0,15,0,0,0,19,28,0,41,5
203031052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,4,0
203031053,0,5,0,0,8,0,0,0,8,0,0,8,9,28,3,0,41,0,0,0,41,12,0,55,9
204011054,3,0,0,0,3,0,0,0,3,0,0,4,0,3,0,0,4,0,0,0,4,14,0,21,3
204011055,0,0,0,0,6,0,0,0,6,0,0,5,0,13,0,0,21,0,4,4,23,31,0,54,6
204011056,7,4,0,0,8,0,0,0,14,0,0,14,6,23,0,0,36,0,3,3,38,77,0,112,13
